First Name,Last Name,Postal Code,City,State/Region,Website URL,Job Title,Twitter Username,Email,Company Name,Company ID
Maia,Bratlie,0183,OSLO,Vestfold,http://www.HubSpot.com,Salesperson,mbratlie,Maia.Bratlie@hubspot.com,HubSpot,5584807659
Arthur,Stenseth,9360,BARDU,Troms,http://www.HubSpot.com,CEO,astenseth,Arthur.Stenseth@hubspot.com,HubSpot,5584838620
Erika,Kvalsund,9385,SKALAND,Vestfold,http://www.HubSpot.com,Salesperson,ekvalsund,Erika.Kvalsund@hubspot.com,HubSpot,5584807659
Isak,Wiik,2918,ULNES,Troms,http://www.HubSpot.com,Key Account Manager,iwiik,Isak.Wiik@hubspot.com,HubSpot,5584798158
Njål,Malmin,0758,OSLO,Innlandet,http://www.HubSpot.com,Marketting Director,nmalmin,Njål.Malmin@hubspot.com,HubSpot,5584807659
Emilian,Tysse,1704,SARPSBORG,Møre,http://www.HubSpot.com,Sales Director,etysse,Emilian.Tysse@hubspot.com,HubSpot,5633013455
Øystein,Bratberg,6285,STOREKALVØY,Agder,http://www.HubSpot.com,Salesperson,øbratberg,Øystein.Bratberg@hubspot.com,HubSpot,5584798158
Abdul,Skeide,6404,MOLDE,Viken,http://www.HubSpot.com,Marketting Director,askeide,Abdul.Skeide@hubspot.com,HubSpot,5584839113
Sylwester,Hage,0755,OSLO,Vestland,http://www.HubSpot.com,CEO,shage,Sylwester.Hage@hubspot.com,HubSpot,5584838620
Katarzyna,Storsveen,2544,ØVERSJØDALEN,Møre,http://www.HubSpot.com,Key Account Manager,kstorsveen,Katarzyna.Storsveen@hubspot.com,HubSpot,5584807659
Reza,Heimdal,1917,YTRE ENEBAKK,Møre,http://www.HubSpot.com,CEO,rheimdal,Reza.Heimdal@hubspot.com,HubSpot,5584807661
Marvin,Opstad,5213,LEPSØY,Oslo,http://www.HubSpot.com,Marketting Director,mopstad,Marvin.Opstad@hubspot.com,HubSpot,5633013455
Benny,Dalland,1160,OSLO,Vestland,http://www.HubSpot.com,Sales Director,bdalland,Benny.Dalland@hubspot.com,HubSpot,5584807661
Alfhild,Aleksandersen,3571,ÅL,Agder,http://www.HubSpot.com,Sales Director,aaleksandersen,Alfhild.Aleksandersen@hubspot.com,HubSpot,5584829668
Ines,Furnes,1424,SKI,Viken,http://www.HubSpot.com,Key Account Manager,ifurnes,Ines.Furnes@hubspot.com,HubSpot,5584798158
Roland,Landro,3781,JOMFRULAND,Vestland,http://www.HubSpot.com,Salesperson,rlandro,Roland.Landro@hubspot.com,HubSpot,5584807659
Melinda,Aas,8178,HALSA,Oslo,http://www.HubSpot.com,CEO,maas,Melinda.Aas@hubspot.com,HubSpot,5584839113
Leni,Kvalvik,6855,FRØNNINGEN,Troms,http://www.HubSpot.com,Marketting Director,lkvalvik,Leni.Kvalvik@hubspot.com,HubSpot,5584829668
Katja,Mohammadi,0675,OSLO,Nordland,http://www.HubSpot.com,CEO,kmohammadi,Katja.Mohammadi@hubspot.com,HubSpot,5584807660
Juliane,Sanne,5644,SÆVAREID,Vestland,http://www.HubSpot.com,Salesperson,jsanne,Juliane.Sanne@hubspot.com,HubSpot,5584807659
Sylwia,Adam,2643,SKÅBU,Trøndelag,http://www.HubSpot.com,Salesperson,sadam,Sylwia.Adam@hubspot.com,HubSpot,5584798158
Aslaug,Melby,6529,FREI,Innlandet,http://www.HubSpot.com,CEO,amelby,Aslaug.Melby@hubspot.com,HubSpot,5584838619
Josephine,Kjørsvik,4869,DØLEMO,Innlandet,http://www.HubSpot.com,Salesperson,jkjørsvik,Josephine.Kjørsvik@hubspot.com,HubSpot,5584798158
Svenn,Myrseth,4876,GRIMSTAD,Rogaland,http://www.HubSpot.com,Marketting Director,smyrseth,Svenn.Myrseth@hubspot.com,HubSpot,5584807661
Gine,Bach,9290,TROMSØ,Vestland,http://www.HubSpot.com,Key Account Manager,gbach,Gine.Bach@hubspot.com,HubSpot,5584829667
Kjellfrid,Vagle,7160,BJUGN,Innlandet,http://www.HubSpot.com,Key Account Manager,kvagle,Kjellfrid.Vagle@hubspot.com,HubSpot,5584807662
Martine,Solstad,3108,VEAR,Viken,http://www.HubSpot.com,Sales Director,msolstad,Martine.Solstad@hubspot.com,HubSpot,5584807659
Anett,Hoel,9393,FLAKSTADVÅG,Agder,http://www.HubSpot.com,Sales Director,ahoel,Anett.Hoel@hubspot.com,HubSpot,5584838620
Helle,Løvdal,7329,SVORKMO,Vestland,http://www.HubSpot.com,CEO,hløvdal,Helle.Løvdal@hubspot.com,HubSpot,5584838619
Bella,Iqbal,8609,MO I RANA,Møre,http://www.HubSpot.com,CEO,biqbal,Bella.Iqbal@hubspot.com,HubSpot,5584838619
Birthe,Mundal,1596,MOSS,Møre,http://www.HubSpot.com,Marketting Director,bmundal,Birthe.Mundal@hubspot.com,HubSpot,5584838619
Yvonne,Kolnes,8764,LOVUND,Vestfold,http://www.HubSpot.com,CEO,ykolnes,Yvonne.Kolnes@hubspot.com,HubSpot,5584838619
Tomasz,Begum,9616,HAMMERFEST,Vestland,http://www.HubSpot.com,CEO,tbegum,Tomasz.Begum@hubspot.com,HubSpot,5584829668
Ismail,Landmark,4374,EGERSUND,Nordland,http://www.HubSpot.com,CEO,ilandmark,Ismail.Landmark@hubspot.com,HubSpot,5584807661
Maylen,Sæther,1543,VESTBY,Vestfold,http://www.HubSpot.com,Marketting Director,msæther,Maylen.Sæther@hubspot.com,HubSpot,5584798158
Emilija,Alfsen,5941,AUSTRHEIM,Oslo,http://www.HubSpot.com,Marketting Director,ealfsen,Emilija.Alfsen@hubspot.com,HubSpot,5584807660
Ada,Solås,2667,LESJAVERK,Oslo,http://www.HubSpot.com,Salesperson,asolås,Ada.Solås@hubspot.com,HubSpot,5584807660
Walter,Kaur,6024,ÅLESUND,Innlandet,http://www.HubSpot.com,Marketting Director,wkaur,Walter.Kaur@hubspot.com,HubSpot,5633013455
Nathan,Røssland,6510,KRISTIANSUND N,Møre,http://www.HubSpot.com,Salesperson,nrøssland,Nathan.Røssland@hubspot.com,HubSpot,5584798158
Tiril,Sund,5257,KOKSTAD,Vestland,http://www.HubSpot.com,CEO,tsund,Tiril.Sund@hubspot.com,HubSpot,5584807660
Seline,Hårstad,5750,ODDA,Trøndelag,http://www.HubSpot.com,Sales Director,shårstad,Seline.Hårstad@hubspot.com,HubSpot,5584838620
Robertas,Amdal,0560,OSLO,Troms,http://www.HubSpot.com,Salesperson,ramdal,Robertas.Amdal@hubspot.com,HubSpot,5584838619
Rino,Seim,7980,TERRÅK,Troms,http://www.HubSpot.com,Key Account Manager,rseim,Rino.Seim@hubspot.com,HubSpot,5584839113
Aline,Warsame,1512,MOSS,Nordland,http://www.HubSpot.com,CEO,awarsame,Aline.Warsame@hubspot.com,HubSpot,5584829668
Sigfrid,Frantzen,8910,BRØNNØYSUND,Nordland,http://www.HubSpot.com,Salesperson,sfrantzen,Sigfrid.Frantzen@hubspot.com,HubSpot,5584807660
Ewelina,Reiten,0374,OSLO,Agder,http://www.HubSpot.com,Marketting Director,ereiten,Ewelina.Reiten@hubspot.com,HubSpot,5633013455
Azra,Bauge,5068,BERGEN,Innlandet,http://www.HubSpot.com,CEO,abauge,Azra.Bauge@hubspot.com,HubSpot,5584838619
Maiken,Williams,5445,BREMNES,Vestland,http://www.HubSpot.com,Salesperson,mwilliams,Maiken.Williams@hubspot.com,HubSpot,5584807659
Bella,Heier,4045,HAFRSFJORD,Nordland,http://www.HubSpot.com,Salesperson,bheier,Bella.Heier@hubspot.com,HubSpot,5584798158
Johanne,Hetland,6632,BATNFJORDSØRA,Viken,http://www.HubSpot.com,Salesperson,jhetland,Johanne.Hetland@hubspot.com,HubSpot,5584807660
Rakel,Akhtar,6843,SKEI I JØLSTER,Agder,http://www.HubSpot.com,Key Account Manager,rakhtar,Rakel.Akhtar@hubspot.com,HubSpot,5584807661
Syver,Opheim,0760,OSLO,Troms,http://www.HubSpot.com,Sales Director,sopheim,Syver.Opheim@hubspot.com,HubSpot,5633013455
Erika,Rogne,3962,STATHELLE,Rogaland,http://www.HubSpot.com,CEO,erogne,Erika.Rogne@hubspot.com,HubSpot,5584798158
Cicilie,Øksnes,5325,FOLLESE,Nordland,http://www.HubSpot.com,Sales Director,cøksnes,Cicilie.Øksnes@hubspot.com,HubSpot,5584798158
Nadia,Akhtar,4902,TVEDESTRAND,Agder,http://www.HubSpot.com,Sales Director,nakhtar,Nadia.Akhtar@hubspot.com,HubSpot,5584829667
Trine-Lise,Thune,3122,TØNSBERG,Trøndelag,http://www.HubSpot.com,CEO,tthune,Trine-Lise.Thune@hubspot.com,HubSpot,5584829668
Jim,Berthelsen,4336,SANDNES,Nordland,http://www.HubSpot.com,CEO,jberthelsen,Jim.Berthelsen@hubspot.com,HubSpot,5584807660
Wendy,Aasen,9162,SØRSTRAUMEN,Møre,http://www.HubSpot.com,Sales Director,waasen,Wendy.Aasen@hubspot.com,HubSpot,5584807660
Pål,Khan,9277,TROMSØ,Trøndelag,http://www.HubSpot.com,CEO,pkhan,Pål.Khan@hubspot.com,HubSpot,5584807660
Sigrid,Said,1162,OSLO,Troms,http://www.HubSpot.com,CEO,ssaid,Sigrid.Said@hubspot.com,HubSpot,5584838619
Ulrikke,Nyborg,3226,SANDEFJORD,Oslo,http://www.HubSpot.com,Marketting Director,unyborg,Ulrikke.Nyborg@hubspot.com,HubSpot,5584807660
Halvdan,Borgersen,1703,SARPSBORG,Oslo,http://www.HubSpot.com,Sales Director,hborgersen,Halvdan.Borgersen@hubspot.com,HubSpot,5584829668
Borgny,Engstrøm,5829,BERGEN,Vestfold,http://www.HubSpot.com,CEO,bengstrøm,Borgny.Engstrøm@hubspot.com,HubSpot,5584838620
Torje,Hopen,5008,BERGEN,Møre,http://www.HubSpot.com,Sales Director,thopen,Torje.Hopen@hubspot.com,HubSpot,5584807659
Zbigniew,Granli,8611,MO I RANA,Viken,http://www.HubSpot.com,Marketting Director,zgranli,Zbigniew.Granli@hubspot.com,HubSpot,5584838620
Roland,Lia,6399,VESTNES,Møre,http://www.HubSpot.com,Sales Director,rlia,Roland.Lia@hubspot.com,HubSpot,5584829668
Mohammed,Blindheim,7791,MALM,Troms,http://www.HubSpot.com,Sales Director,mblindheim,Mohammed.Blindheim@hubspot.com,HubSpot,5633013455
Therese,Skar,1767,HALDEN,Troms,http://www.HubSpot.com,Key Account Manager,tskar,Therese.Skar@hubspot.com,HubSpot,5584798158
Dariusz,Lund,3991,BREVIK,Viken,http://www.HubSpot.com,Marketting Director,dlund,Dariusz.Lund@hubspot.com,HubSpot,5584807659
