First Name,Last Name,City,State/Region,Website URL,Job Title,Twitter Username,Email,Company Name,Company ID
Zainab,Fredheim,Mysen,Vestland,http://www.HubSpot.com,Marketting Director,zfredheim,Zainab.Fredheim@hubspot.com,HubSpot,5584839113
Izabela,Andersson,Stjørdalshalsen,Trøndelag,http://www.HubSpot.com,Key Account Manager,iandersson,Izabela.Andersson@hubspot.com,HubSpot,5584798158
Danuta,Martinussen,Skudeneshavn,Nordland,http://www.HubSpot.com,Key Account Manager,dmartinussen,Danuta.Martinussen@hubspot.com,HubSpot,5584839113
Betina,Forsberg,Svolvær,Oslo,http://www.HubSpot.com,Salesperson,bforsberg,Betina.Forsberg@hubspot.com,HubSpot,5584807660
Gaute,Hagen,Porsgrunn,Oslo,http://www.HubSpot.com,Sales Director,ghagen,Gaute.Hagen@hubspot.com,HubSpot,5584807659
Arthur,Løseth,Kragerø,Vestland,http://www.HubSpot.com,Key Account Manager,aløseth,Arthur.Løseth@hubspot.com,HubSpot,5584838620
Mie,Vestre,Fagernes,Nordland,http://www.HubSpot.com,Sales Director,mvestre,Mie.Vestre@hubspot.com,HubSpot,5584807661
Per,Holt,Brevik,Vestfold,http://www.HubSpot.com,CEO,pholt,Per.Holt@hubspot.com,HubSpot,5633013455
Finn,Lode,Ulsteinvik,Rogaland,http://www.HubSpot.com,Sales Director,flode,Finn.Lode@hubspot.com,HubSpot,5584829667
Eirin,Reistad,Leknes,Oslo,http://www.HubSpot.com,CEO,ereistad,Eirin.Reistad@hubspot.com,HubSpot,5584807661
Annbjørg,Urdal,Oslo,Vestfold,http://www.HubSpot.com,Marketting Director,aurdal,Annbjørg.Urdal@hubspot.com,HubSpot,5584807661
Edyta,Grøndahl,Levanger,Innlandet,http://www.HubSpot.com,Key Account Manager,egrøndahl,Edyta.Grøndahl@hubspot.com,HubSpot,5584839113
Magnar,Bergstrøm,Hamar,Møre,http://www.HubSpot.com,Sales Director,mbergstrøm,Magnar.Bergstrøm@hubspot.com,HubSpot,5584807659
Joakim,Chen,Mandal,Oslo,http://www.HubSpot.com,Salesperson,jchen,Joakim.Chen@hubspot.com,HubSpot,5584807661
Thorvald,Ødegård,Kristiansand,Troms,http://www.HubSpot.com,CEO,tødegård,Thorvald.Ødegård@hubspot.com,HubSpot,5584838619
Iselin,Ekeberg,Steinkjer,Rogaland,http://www.HubSpot.com,Sales Director,iekeberg,Iselin.Ekeberg@hubspot.com,HubSpot,5584838620
Paulina,Hauan,Fauske,Innlandet,http://www.HubSpot.com,Sales Director,phauan,Paulina.Hauan@hubspot.com,HubSpot,5584807661
