First Name,Last Name,City,State/Region,Website URL,Job Title,Twitter Username,Email,Company Name,Company ID
Camilla,Dang,Åsgårdstrand,Vestland,http://www.HubSpot.com,Key Account Manager,cdang,Camilla.Dang@hubspot.com,HubSpot,5584807661
Gabriela,Johnsen,Stathelle,Møre,http://www.HubSpot.com,Salesperson,gjohnsen,Gabriela.Johnsen@hubspot.com,HubSpot,5633013455
Benny,Trøen,Måløy,Møre,http://www.HubSpot.com,CEO,btrøen,Benny.Trøen@hubspot.com,HubSpot,5584807659
Betty,Persen,Bryne,Vestfold,http://www.HubSpot.com,Key Account Manager,bpersen,Betty.Persen@hubspot.com,HubSpot,5584829668
Ismail,Moan,Florø,Oslo,http://www.HubSpot.com,Sales Director,imoan,Ismail.Moan@hubspot.com,HubSpot,5584807659
Kian,Teige,Vadsø,Vestland,http://www.HubSpot.com,CEO,kteige,Kian.Teige@hubspot.com,HubSpot,5584807662
Ivan,Nordskog,Lillestrøm,Troms,http://www.HubSpot.com,Key Account Manager,inordskog,Ivan.Nordskog@hubspot.com,HubSpot,5584807662
Kolbjørn,Brun,Moelv,Rogaland,http://www.HubSpot.com,Marketting Director,kbrun,Kolbjørn.Brun@hubspot.com,HubSpot,5584839113
Erland,Rindal,Gjøvik,Trøndelag,http://www.HubSpot.com,Sales Director,erindal,Erland.Rindal@hubspot.com,HubSpot,5584807659
Dominika,Arnesen,Larvik,Agder,http://www.HubSpot.com,CEO,darnesen,Dominika.Arnesen@hubspot.com,HubSpot,5584838620
Herdis,Kaspersen,Farsund,Møre,http://www.HubSpot.com,Sales Director,hkaspersen,Herdis.Kaspersen@hubspot.com,HubSpot,5584807660
Ferdinand,Smith,Fagernes,Vestfold,http://www.HubSpot.com,Key Account Manager,fsmith,Ferdinand.Smith@hubspot.com,HubSpot,5584829667
Hana,Ingebretsen,Odda,Vestland,http://www.HubSpot.com,Salesperson,hingebretsen,Hana.Ingebretsen@hubspot.com,HubSpot,5584829668
Ingerid,Langeland,Svelvik,Rogaland,http://www.HubSpot.com,Marketting Director,ilangeland,Ingerid.Langeland@hubspot.com,HubSpot,5633013455
Anne-Berit,Kristensen,Holmestrand,Nordland,http://www.HubSpot.com,Marketting Director,akristensen,Anne-Berit.Kristensen@hubspot.com,HubSpot,5633013455
Synnøve,Nyberg,Sandnes,Innlandet,http://www.HubSpot.com,Marketting Director,snyberg,Synnøve.Nyberg@hubspot.com,HubSpot,5584839113
Arna,Henden,Moss,Trøndelag,http://www.HubSpot.com,Sales Director,ahenden,Arna.Henden@hubspot.com,HubSpot,5584807659
Bushra,Sæther,Skudeneshavn,Vestland,http://www.HubSpot.com,CEO,bsæther,Bushra.Sæther@hubspot.com,HubSpot,5584807662
Magdalena,Fjell,Elverum,Innlandet,http://www.HubSpot.com,CEO,mfjell,Magdalena.Fjell@hubspot.com,HubSpot,5584807661
Emilian,Engan,Holmestrand,Trøndelag,http://www.HubSpot.com,Sales Director,eengan,Emilian.Engan@hubspot.com,HubSpot,5584807660
Dana,Aarhus,Skien,Viken,http://www.HubSpot.com,Salesperson,daarhus,Dana.Aarhus@hubspot.com,HubSpot,5584798158
Edwin,Tollefsen,Jessheim,Innlandet,http://www.HubSpot.com,Key Account Manager,etollefsen,Edwin.Tollefsen@hubspot.com,HubSpot,5584807660
Jeanett,Sara,Langesund,Oslo,http://www.HubSpot.com,Marketting Director,jsara,Jeanett.Sara@hubspot.com,HubSpot,5584807660
Ebba,Aronsen,Sandefjord,Nordland,http://www.HubSpot.com,Marketting Director,earonsen,Ebba.Aronsen@hubspot.com,HubSpot,5633013455
Molly,Schjølberg,Harstad,Trøndelag,http://www.HubSpot.com,CEO,mschjølberg,Molly.Schjølberg@hubspot.com,HubSpot,5584829668
Aleksander,Bjørnerud,Hokksund,Oslo,http://www.HubSpot.com,Marketting Director,abjørnerud,Aleksander.Bjørnerud@hubspot.com,HubSpot,5584807659
Andreas,Leirvik,Askim,Oslo,http://www.HubSpot.com,Sales Director,aleirvik,Andreas.Leirvik@hubspot.com,HubSpot,5584829668
Kinga,Bjørnestad,Odda,Nordland,http://www.HubSpot.com,Marketting Director,kbjørnestad,Kinga.Bjørnestad@hubspot.com,HubSpot,5584807661
Rose,Longva,Åkrehamn,Møre,http://www.HubSpot.com,Sales Director,rlongva,Rose.Longva@hubspot.com,HubSpot,5633013455
Mildrid,Viken,Porsgrunn,Vestland,http://www.HubSpot.com,Salesperson,mviken,Mildrid.Viken@hubspot.com,HubSpot,5584839113
Liva,Kirkeby,Odda,Møre,http://www.HubSpot.com,CEO,lkirkeby,Liva.Kirkeby@hubspot.com,HubSpot,5584838619
Henriette,Syrstad,Brevik,Rogaland,http://www.HubSpot.com,Key Account Manager,hsyrstad,Henriette.Syrstad@hubspot.com,HubSpot,5584839113
Severin,Solem,Mysen,Vestfold,http://www.HubSpot.com,Marketting Director,ssolem,Severin.Solem@hubspot.com,HubSpot,5584807659
Edvin,Holte,Stathelle,Trøndelag,http://www.HubSpot.com,Key Account Manager,eholte,Edvin.Holte@hubspot.com,HubSpot,5584839113
Viktor,Saleh,Porsgrunn,Oslo,http://www.HubSpot.com,Marketting Director,vsaleh,Viktor.Saleh@hubspot.com,HubSpot,5584829668
Tanya,Ismail,Holmestrand,Rogaland,http://www.HubSpot.com,Marketting Director,tismail,Tanya.Ismail@hubspot.com,HubSpot,5584807660
Hilmar,Trøen,Sandnes,Rogaland,http://www.HubSpot.com,Marketting Director,htrøen,Hilmar.Trøen@hubspot.com,HubSpot,5584807659
Zakaria,Gustafsson,Verdalsøra,Troms,http://www.HubSpot.com,Marketting Director,zgustafsson,Zakaria.Gustafsson@hubspot.com,HubSpot,5584838620
Aud,Jessen,Mosjøen,Oslo,http://www.HubSpot.com,Salesperson,ajessen,Aud.Jessen@hubspot.com,HubSpot,5633013455
Nanna,Korsnes,Trondheim,Innlandet,http://www.HubSpot.com,Sales Director,nkorsnes,Nanna.Korsnes@hubspot.com,HubSpot,5584807661
Ernst,Aamodt,Brevik,Vestland,http://www.HubSpot.com,Marketting Director,eaamodt,Ernst.Aamodt@hubspot.com,HubSpot,5584807659
Roar,Rosland,Kristiansand,Agder,http://www.HubSpot.com,Key Account Manager,rrosland,Roar.Rosland@hubspot.com,HubSpot,5584807660
Tatjana,Løvold,Kongsberg,Trøndelag,http://www.HubSpot.com,CEO,tløvold,Tatjana.Løvold@hubspot.com,HubSpot,5584807661
Peggy,Erlandsen,Raufoss,Trøndelag,http://www.HubSpot.com,Salesperson,perlandsen,Peggy.Erlandsen@hubspot.com,HubSpot,5584807660
Caroline,Poulsen,Askim,Oslo,http://www.HubSpot.com,Key Account Manager,cpoulsen,Caroline.Poulsen@hubspot.com,HubSpot,5584838619
Amanda,Ringdal,Kristiansand,Rogaland,http://www.HubSpot.com,Key Account Manager,aringdal,Amanda.Ringdal@hubspot.com,HubSpot,5633013455
Steven,Hustad,Porsgrunn,Innlandet,http://www.HubSpot.com,Marketting Director,shustad,Steven.Hustad@hubspot.com,HubSpot,5584807662
Alan,Håheim,Ski,Agder,http://www.HubSpot.com,Sales Director,ahåheim,Alan.Håheim@hubspot.com,HubSpot,5584807659
Desiree,Bjelland,Kirkenes,Nordland,http://www.HubSpot.com,Marketting Director,dbjelland,Desiree.Bjelland@hubspot.com,HubSpot,5584807662
Elizabeth,Kjos,Sandvika,Nordland,http://www.HubSpot.com,Sales Director,ekjos,Elizabeth.Kjos@hubspot.com,HubSpot,5584838620
Hild,Hove,MoiRana,Nordland,http://www.HubSpot.com,Key Account Manager,hhove,Hild.Hove@hubspot.com,HubSpot,5584829667
Solbjørg,Thoresen,Stokmarknes,Møre,http://www.HubSpot.com,Salesperson,sthoresen,Solbjørg.Thoresen@hubspot.com,HubSpot,5584798158
Betty,Hjørnevik,Stavern,Innlandet,http://www.HubSpot.com,Salesperson,bhjørnevik,Betty.Hjørnevik@hubspot.com,HubSpot,5633013455
Mari-Ann,Sanden,Tvedestrand,Nordland,http://www.HubSpot.com,CEO,msanden,Mari-Ann.Sanden@hubspot.com,HubSpot,5584838620
Asta,Larssen,Røros,Innlandet,http://www.HubSpot.com,Key Account Manager,alarssen,Asta.Larssen@hubspot.com,HubSpot,5584838619
Rabia,Hoel,Bryne,Nordland,http://www.HubSpot.com,Sales Director,rhoel,Rabia.Hoel@hubspot.com,HubSpot,5584838620
Ilona,Schei,Hammerfest,Møre,http://www.HubSpot.com,Salesperson,ischei,Ilona.Schei@hubspot.com,HubSpot,5633013455
Henrikke,Hestnes,Grimstad,Nordland,http://www.HubSpot.com,Marketting Director,hhestnes,Henrikke.Hestnes@hubspot.com,HubSpot,5584838620
Fatima,Fauskanger,Larvik,Agder,http://www.HubSpot.com,Key Account Manager,ffauskanger,Fatima.Fauskanger@hubspot.com,HubSpot,5584807661
Mila,Jensen,Førde,Agder,http://www.HubSpot.com,Sales Director,mjensen,Mila.Jensen@hubspot.com,HubSpot,5584838620
Daiva,Knutsen,Ulsteinvik,Innlandet,http://www.HubSpot.com,Marketting Director,dknutsen,Daiva.Knutsen@hubspot.com,HubSpot,5584838619
Kevin,Kvalvik,Brønnøysund,Vestfold,http://www.HubSpot.com,Marketting Director,kkvalvik,Kevin.Kvalvik@hubspot.com,HubSpot,5584798158
Susanne,Bergan,Kopervik,Nordland,http://www.HubSpot.com,Salesperson,sbergan,Susanne.Bergan@hubspot.com,HubSpot,5584838620
Marlen,Hartvigsen,Lillesand,Møre,http://www.HubSpot.com,Salesperson,mhartvigsen,Marlen.Hartvigsen@hubspot.com,HubSpot,5584839113
Solrun,Matre,Harstad,Agder,http://www.HubSpot.com,Key Account Manager,smatre,Solrun.Matre@hubspot.com,HubSpot,5584807661
Mathias,Hammersland,Moelv,Troms,http://www.HubSpot.com,Marketting Director,mhammersland,Mathias.Hammersland@hubspot.com,HubSpot,5584839113
Gudrun,Dalland,Arendal,Møre,http://www.HubSpot.com,Salesperson,gdalland,Gudrun.Dalland@hubspot.com,HubSpot,5584798158
Sylvi,Eidem,Lillehammer,Møre,http://www.HubSpot.com,Sales Director,seidem,Sylvi.Eidem@hubspot.com,HubSpot,5584838619
Fabian,Tveito,Bergen,Troms,http://www.HubSpot.com,CEO,ftveito,Fabian.Tveito@hubspot.com,HubSpot,5584829667
Solvor,Gashi,Åkrehamn,Møre,http://www.HubSpot.com,CEO,sgashi,Solvor.Gashi@hubspot.com,HubSpot,5633013455
Angela,Aakre,Askim,Innlandet,http://www.HubSpot.com,Marketting Director,aaakre,Angela.Aakre@hubspot.com,HubSpot,5584807661
Ian,Hammersland,Ski,Agder,http://www.HubSpot.com,Marketting Director,ihammersland,Ian.Hammersland@hubspot.com,HubSpot,5584807662
Alexandra,Thorvaldsen,Larvik,Troms,http://www.HubSpot.com,CEO,athorvaldsen,Alexandra.Thorvaldsen@hubspot.com,HubSpot,5584838620
Jack,Nordhagen,Lillehammer,Agder,http://www.HubSpot.com,Salesperson,jnordhagen,Jack.Nordhagen@hubspot.com,HubSpot,5633013455
Filippa,Lie,Sauda,Vestland,http://www.HubSpot.com,CEO,flie,Filippa.Lie@hubspot.com,HubSpot,5584807661
Axel,Frøyland,Drøbak,Agder,http://www.HubSpot.com,Key Account Manager,afrøyland,Axel.Frøyland@hubspot.com,HubSpot,5584838620
Lilli,Berg,Halden,Vestland,http://www.HubSpot.com,CEO,lberg,Lilli.Berg@hubspot.com,HubSpot,5584807659
Arturas,Bjerkan,Egersund,Trøndelag,http://www.HubSpot.com,Key Account Manager,abjerkan,Arturas.Bjerkan@hubspot.com,HubSpot,5584838620
Nikoline,Vea,Ski,Troms,http://www.HubSpot.com,Key Account Manager,nvea,Nikoline.Vea@hubspot.com,HubSpot,5584838620
